City,County,Year,Month,Temp
Minneapolis,Hennepin,2008,6,68.7
Minneapolis,Hennepin,2008,7,75.5
Minneapolis,Hennepin,2008,8,72.4
Minneapolis,Hennepin,2008,9,63.6
Minneapolis,Hennepin,2008,10,50.4
Minneapolis,Hennepin,2008,11,34.7
Minneapolis,Hennepin,2008,12,13.5
Minneapolis,Hennepin,2009,1,8.3
Minneapolis,Hennepin,2009,2,20.8
Minneapolis,Hennepin,2009,3,32.2
Minneapolis,Hennepin,2009,4,47.6
Minneapolis,Hennepin,2009,5,60.8
Minneapolis,Hennepin,2009,6,67.7
Minneapolis,Hennepin,2009,7,70
Minneapolis,Hennepin,2009,8,69.4
Minneapolis,Hennepin,2009,9,66.5
Minneapolis,Hennepin,2009,10,43.2
Minneapolis,Hennepin,2009,11,42.7
Minneapolis,Hennepin,2009,12,17.3
Minneapolis,Hennepin,2010,1,13
Minneapolis,Hennepin,2010,2,19.7
Minneapolis,Hennepin,2010,3,41
Minneapolis,Hennepin,2010,4,54.9
Minneapolis,Hennepin,2010,5,60.7
Minneapolis,Hennepin,2010,6,69.3
Minneapolis,Hennepin,2010,7,76.3
Minneapolis,Hennepin,2010,8,77
Minneapolis,Hennepin,2010,9,60.2
Minneapolis,Hennepin,2010,10,54
Minneapolis,Hennepin,2010,11,35.3
Minneapolis,Hennepin,2010,12,16.4
Minneapolis,Hennepin,2011,1,12
Minneapolis,Hennepin,2011,2,18.7
Minneapolis,Hennepin,2011,3,29.4
Minneapolis,Hennepin,2011,4,46.2
Minneapolis,Hennepin,2011,5,58.4
Minneapolis,Hennepin,2011,6,69.5
Minneapolis,Hennepin,2011,7,78.8
Minneapolis,Hennepin,2011,8,73.6
Minneapolis,Hennepin,2011,9,62.9
Minneapolis,Hennepin,2011,10,55.3
Minneapolis,Hennepin,2011,11,39.2
Minneapolis,Hennepin,2011,12,27.8
Minneapolis,Hennepin,2012,1,23.3
Minneapolis,Hennepin,2012,2,27.7
Minneapolis,Hennepin,2012,3,48.3
Minneapolis,Hennepin,2012,4,50
Minneapolis,Hennepin,2012,5,63.7
Minneapolis,Hennepin,2012,6,72.3
Minneapolis,Hennepin,2012,7,80.2
Minneapolis,Hennepin,2012,8,72
Minneapolis,Hennepin,2012,9,63.9
Minneapolis,Hennepin,2012,10,47.5
Minneapolis,Hennepin,2012,11,37.1
Minneapolis,Hennepin,2012,12,23.4
Minneapolis,Hennepin,2013,1,16.9
Minneapolis,Hennepin,2013,2,19
Minneapolis,Hennepin,2013,3,27.2
Minneapolis,Hennepin,2013,4,41
Minneapolis,Hennepin,2013,5,58.3
Minneapolis,Hennepin,2013,6,68.9
Minneapolis,Hennepin,2013,7,75
Minneapolis,Hennepin,2013,8,74.7
Minneapolis,Hennepin,2013,9,67.2
Minneapolis,Hennepin,2013,10,49.1
Minneapolis,Hennepin,2013,11,33.2
Minneapolis,Hennepin,2013,12,12.4
Minneapolis,Hennepin,2014,1,8
Minneapolis,Hennepin,2014,2,8.6
Minneapolis,Hennepin,2014,3,25.5
Minneapolis,Hennepin,2014,4,42.7
Minneapolis,Hennepin,2014,5,58.6
Minneapolis,Hennepin,2014,6,69.5
Minneapolis,Hennepin,2014,7,71.5
Minneapolis,Hennepin,2014,8,73.3
Minneapolis,Hennepin,2014,9,62.7
Minneapolis,Hennepin,2014,10,49.2
Minneapolis,Hennepin,2014,11,25.4
Minneapolis,Hennepin,2014,12,24.3
Minneapolis,Hennepin,2015,1,19
Minneapolis,Hennepin,2015,2,11.2
Minneapolis,Hennepin,2015,3,35.5
Minneapolis,Hennepin,2015,4,49.7
Minneapolis,Hennepin,2015,5,59.2
Minneapolis,Hennepin,2015,6,69.7
Minneapolis,Hennepin,2015,7,73.4
Minneapolis,Hennepin,2015,8,70.7
Minneapolis,Hennepin,2015,9,67.9
Minneapolis,Hennepin,2015,10,52.1
Minneapolis,Hennepin,2015,11,41.4
Minneapolis,Hennepin,2015,12,30.2
Minneapolis,Hennepin,2016,1,17.6
Minneapolis,Hennepin,2016,2,24.9
Minneapolis,Hennepin,2016,3,41.3
Minneapolis,Hennepin,2016,4,48.1
Minneapolis,Hennepin,2016,5,61.3
Minneapolis,Hennepin,2016,6,71.3
Minneapolis,Hennepin,2016,7,75.2
Minneapolis,Hennepin,2016,8,73.4
Minneapolis,Hennepin,2016,9,66.1
Minneapolis,Hennepin,2016,10,52.9
Minneapolis,Hennepin,2016,11,44.1
Minneapolis,Hennepin,2016,12,20.9
Blue Earth,Faribault,2007,1,M
Blue Earth,Faribault,2007,2,M
Blue Earth,Faribault,2007,3,M
Blue Earth,Faribault,2007,4,M
Blue Earth,Faribault,2007,5,M
Blue Earth,Faribault,2007,6,M
Blue Earth,Faribault,2007,7,M
Blue Earth,Faribault,2007,8,M
Blue Earth,Faribault,2007,9,M
Blue Earth,Faribault,2007,10,M
Blue Earth,Faribault,2007,11,M
Blue Earth,Faribault,2007,12,M
Blue Earth,Faribault,2008,1,M
Blue Earth,Faribault,2008,2,M
Blue Earth,Faribault,2008,3,M
Blue Earth,Faribault,2008,4,M
Blue Earth,Faribault,2008,5,M
Blue Earth,Faribault,2008,6,M
Blue Earth,Faribault,2008,7,M
Blue Earth,Faribault,2008,8,M
Blue Earth,Faribault,2008,9,M
Blue Earth,Faribault,2008,10,M
Blue Earth,Faribault,2008,11,M
Blue Earth,Faribault,2008,12,M
Blue Earth,Faribault,2009,1,M
Blue Earth,Faribault,2009,2,M
Blue Earth,Faribault,2009,3,M
Blue Earth,Faribault,2009,4,M
Blue Earth,Faribault,2009,5,M
Blue Earth,Faribault,2009,6,M
Blue Earth,Faribault,2009,7,M
Blue Earth,Faribault,2009,8,M
Blue Earth,Faribault,2009,9,M
Blue Earth,Faribault,2009,10,43.6
Blue Earth,Faribault,2009,11,42.1
Blue Earth,Faribault,2009,12,16.2
Blue Earth,Faribault,2010,1,10
Blue Earth,Faribault,2010,2,14.7
Blue Earth,Faribault,2010,3,35.2
Blue Earth,Faribault,2010,4,53.6
Blue Earth,Faribault,2010,5,58.5
Blue Earth,Faribault,2010,6,68.3
Blue Earth,Faribault,2010,7,74.4
Blue Earth,Faribault,2010,8,75
Blue Earth,Faribault,2010,9,61
Blue Earth,Faribault,2010,10,53.7
Blue Earth,Faribault,2010,11,35.4
Blue Earth,Faribault,2010,12,16.6
Blue Earth,Faribault,2011,1,10.3
Blue Earth,Faribault,2011,2,19.6
Blue Earth,Faribault,2011,3,30
Blue Earth,Faribault,2011,4,45.2
Blue Earth,Faribault,2011,5,57.3
Blue Earth,Faribault,2011,6,67.9
Blue Earth,Faribault,2011,7,M
Blue Earth,Faribault,2011,8,M
Blue Earth,Faribault,2011,9,M
Blue Earth,Faribault,2011,10,M
Blue Earth,Faribault,2011,11,M
Blue Earth,Faribault,2011,12,M
Blue Earth,Faribault,2012,1,M
Blue Earth,Faribault,2012,2,M
Blue Earth,Faribault,2012,3,M
Blue Earth,Faribault,2012,4,M
Blue Earth,Faribault,2012,5,M
Blue Earth,Faribault,2012,6,M
Blue Earth,Faribault,2012,7,M
Blue Earth,Faribault,2012,8,M
Blue Earth,Faribault,2012,9,M
Blue Earth,Faribault,2012,10,M
Blue Earth,Faribault,2012,11,M
Blue Earth,Faribault,2012,12,M
Blue Earth,Faribault,2013,1,M
Blue Earth,Faribault,2013,2,M
Blue Earth,Faribault,2013,3,M
Blue Earth,Faribault,2013,4,M
Blue Earth,Faribault,2013,5,M
Blue Earth,Faribault,2013,6,M
Blue Earth,Faribault,2013,7,M
Blue Earth,Faribault,2013,8,M
Blue Earth,Faribault,2013,9,M
Blue Earth,Faribault,2013,10,M
Blue Earth,Faribault,2013,11,M
Blue Earth,Faribault,2013,12,M
Blue Earth,Faribault,2014,1,M
Blue Earth,Faribault,2014,2,M
Blue Earth,Faribault,2014,3,M
Blue Earth,Faribault,2014,4,M
Blue Earth,Faribault,2014,5,M
Blue Earth,Faribault,2014,6,M
Blue Earth,Faribault,2014,7,M
Blue Earth,Faribault,2014,8,M
Blue Earth,Faribault,2014,9,M
Blue Earth,Faribault,2014,10,M
Blue Earth,Faribault,2014,11,M
Blue Earth,Faribault,2014,12,M
Blue Earth,Faribault,2015,1,M
Blue Earth,Faribault,2015,2,M
Blue Earth,Faribault,2015,3,M
Blue Earth,Faribault,2015,4,M
Blue Earth,Faribault,2015,5,M
Blue Earth,Faribault,2015,6,M
Blue Earth,Faribault,2015,7,M
Blue Earth,Faribault,2015,8,M
Blue Earth,Faribault,2015,9,M
Blue Earth,Faribault,2015,10,M
Blue Earth,Faribault,2015,11,M
Blue Earth,Faribault,2015,12,M
Blue Earth,Faribault,2016,1,M
Blue Earth,Faribault,2016,2,M
Blue Earth,Faribault,2016,3,M
Blue Earth,Faribault,2016,4,M
Blue Earth,Faribault,2016,5,M
Blue Earth,Faribault,2016,6,M
Blue Earth,Faribault,2016,7,M
Blue Earth,Faribault,2016,8,M
Blue Earth,Faribault,2016,9,M
Blue Earth,Faribault,2016,10,M
Blue Earth,Faribault,2016,11,M
Blue Earth,Faribault,2016,12,M
Cambridge,Isanti,2007,1,16.4
Cambridge,Isanti,2007,2,8.8
Cambridge,Isanti,2007,3,33.4
Cambridge,Isanti,2007,4,43.5
Cambridge,Isanti,2007,5,59.9
Cambridge,Isanti,2007,6,68
Cambridge,Isanti,2007,7,70.9
Cambridge,Isanti,2007,8,68.3
Cambridge,Isanti,2007,9,58.2
Cambridge,Isanti,2007,10,52.3
Cambridge,Isanti,2007,11,33.1
Cambridge,Isanti,2007,12,13.5
Cambridge,Isanti,2008,1,10
Cambridge,Isanti,2008,2,10.9
Cambridge,Isanti,2008,3,24.5
Cambridge,Isanti,2008,4,41.1
Cambridge,Isanti,2008,5,52.7
Cambridge,Isanti,2008,6,64
Cambridge,Isanti,2008,7,71.4
Cambridge,Isanti,2008,8,73.9
Cambridge,Isanti,2008,9,59.3
Cambridge,Isanti,2008,10,52.7
Cambridge,Isanti,2008,11,M
Cambridge,Isanti,2008,12,8.5
Cambridge,Isanti,2009,1,2.6
Cambridge,Isanti,2009,2,M
Cambridge,Isanti,2009,3,22.2
Cambridge,Isanti,2009,4,44.2
Cambridge,Isanti,2009,5,65.2
Cambridge,Isanti,2009,6,68.8
Cambridge,Isanti,2009,7,68.6
Cambridge,Isanti,2009,8,64.6
Cambridge,Isanti,2009,9,63.7
Cambridge,Isanti,2009,10,43.2
Cambridge,Isanti,2009,11,41.5
Cambridge,Isanti,2009,12,15.7
Cambridge,Isanti,2010,1,13
Cambridge,Isanti,2010,2,15.2
Cambridge,Isanti,2010,3,36.2
Cambridge,Isanti,2010,4,50.7
Cambridge,Isanti,2010,5,58.2
Cambridge,Isanti,2010,6,65.9
Cambridge,Isanti,2010,7,71.8
Cambridge,Isanti,2010,8,72.9
Cambridge,Isanti,2010,9,55.7
Cambridge,Isanti,2010,10,49.7
Cambridge,Isanti,2010,11,32.3
Cambridge,Isanti,2010,12,12.8
Cambridge,Isanti,2011,1,6.7
Cambridge,Isanti,2011,2,14.7
Cambridge,Isanti,2011,3,24.9
Cambridge,Isanti,2011,4,42.9
Cambridge,Isanti,2011,5,55.2
Cambridge,Isanti,2011,6,65.4
Cambridge,Isanti,2011,7,74.3
Cambridge,Isanti,2011,8,68.4
Cambridge,Isanti,2011,9,57.7
Cambridge,Isanti,2011,10,49.5
Cambridge,Isanti,2011,11,35.1
Cambridge,Isanti,2011,12,24.5
Cambridge,Isanti,2012,1,21
Cambridge,Isanti,2012,2,24.6
Cambridge,Isanti,2012,3,42
Cambridge,Isanti,2012,4,44.9
Cambridge,Isanti,2012,5,59.4
Cambridge,Isanti,2012,6,67.5
Cambridge,Isanti,2012,7,74.5
Cambridge,Isanti,2012,8,67.5
Cambridge,Isanti,2012,9,56.7
Cambridge,Isanti,2012,10,M
Cambridge,Isanti,2012,11,32.3
Cambridge,Isanti,2012,12,18.2
Cambridge,Isanti,2013,1,11.5
Cambridge,Isanti,2013,2,13
Cambridge,Isanti,2013,3,21.2
Cambridge,Isanti,2013,4,34.4
Cambridge,Isanti,2013,5,53.8
Cambridge,Isanti,2013,6,63.7
Cambridge,Isanti,2013,7,69.9
Cambridge,Isanti,2013,8,69.2
Cambridge,Isanti,2013,9,63.8
Cambridge,Isanti,2013,10,47.1
Cambridge,Isanti,2013,11,31.2
Cambridge,Isanti,2013,12,6.9
Cambridge,Isanti,2014,1,0.3
Cambridge,Isanti,2014,2,3.4
Cambridge,Isanti,2014,3,21.9
Cambridge,Isanti,2014,4,38
Cambridge,Isanti,2014,5,55.4
Cambridge,Isanti,2014,6,67.8
Cambridge,Isanti,2014,7,67
Cambridge,Isanti,2014,8,69.3
Cambridge,Isanti,2014,9,60.3
Cambridge,Isanti,2014,10,47
Cambridge,Isanti,2014,11,21.3
Cambridge,Isanti,2014,12,20
Cambridge,Isanti,2015,1,16.3
Cambridge,Isanti,2015,2,7.3
Cambridge,Isanti,2015,3,33.3
Cambridge,Isanti,2015,4,48
Cambridge,Isanti,2015,5,56.6
Cambridge,Isanti,2015,6,66.1
Cambridge,Isanti,2015,7,70.9
Cambridge,Isanti,2015,8,69.1
Cambridge,Isanti,2015,9,66.3
Cambridge,Isanti,2015,10,49.5
Cambridge,Isanti,2015,11,41
Cambridge,Isanti,2015,12,27.8
Cambridge,Isanti,2016,1,14.4
Cambridge,Isanti,2016,2,19.7
Cambridge,Isanti,2016,3,36.1
Cambridge,Isanti,2016,4,42.3
Cambridge,Isanti,2016,5,57.1
Cambridge,Isanti,2016,6,64.7
Cambridge,Isanti,2016,7,69.1
Cambridge,Isanti,2016,8,67.7
Cambridge,Isanti,2016,9,59.9
Cambridge,Isanti,2016,10,48.9
Cambridge,Isanti,2016,11,37.9
Cambridge,Isanti,2016,12,16.6
Elk River,Sherburne,2007,1,M
Elk River,Sherburne,2007,2,M
Elk River,Sherburne,2007,3,34.2
Elk River,Sherburne,2007,4,46.2
Elk River,Sherburne,2007,5,M
Elk River,Sherburne,2007,6,71.9
Elk River,Sherburne,2007,7,74.6
Elk River,Sherburne,2007,8,69.9
Elk River,Sherburne,2007,9,61.4
Elk River,Sherburne,2007,10,49.9
Elk River,Sherburne,2007,11,M
Elk River,Sherburne,2007,12,14.1
Elk River,Sherburne,2008,1,M
Elk River,Sherburne,2008,2,12.4
Elk River,Sherburne,2008,3,25.6
Elk River,Sherburne,2008,4,41.9
Elk River,Sherburne,2008,5,54.4
Elk River,Sherburne,2008,6,66.9
Elk River,Sherburne,2008,7,72.6
Elk River,Sherburne,2008,8,70
Elk River,Sherburne,2008,9,61.6
Elk River,Sherburne,2008,10,48.5
Elk River,Sherburne,2008,11,33.8
Elk River,Sherburne,2008,12,12.5
Elk River,Sherburne,2009,1,4.3
Elk River,Sherburne,2009,2,18.1
Elk River,Sherburne,2009,3,28
Elk River,Sherburne,2009,4,45.6
Elk River,Sherburne,2009,5,57.5
Elk River,Sherburne,2009,6,65.8
Elk River,Sherburne,2009,7,68.2
Elk River,Sherburne,2009,8,68
Elk River,Sherburne,2009,9,65.4
Elk River,Sherburne,2009,10,42
Elk River,Sherburne,2009,11,40.6
Elk River,Sherburne,2009,12,16.5
Elk River,Sherburne,2010,1,12
Elk River,Sherburne,2010,2,16.4
Elk River,Sherburne,2010,3,37.8
Elk River,Sherburne,2010,4,53
Elk River,Sherburne,2010,5,59.1
Elk River,Sherburne,2010,6,67.6
Elk River,Sherburne,2010,7,74.5
Elk River,Sherburne,2010,8,73.4
Elk River,Sherburne,2010,9,58
Elk River,Sherburne,2010,10,51.1
Elk River,Sherburne,2010,11,32.9
Elk River,Sherburne,2010,12,14.6
Elk River,Sherburne,2011,1,9.4
Elk River,Sherburne,2011,2,15.5
Elk River,Sherburne,2011,3,25.7
Elk River,Sherburne,2011,4,44.7
Elk River,Sherburne,2011,5,57
Elk River,Sherburne,2011,6,66.7
Elk River,Sherburne,2011,7,77.4
Elk River,Sherburne,2011,8,71.4
Elk River,Sherburne,2011,9,60.6
Elk River,Sherburne,2011,10,52.3
Elk River,Sherburne,2011,11,36.2
Elk River,Sherburne,2011,12,25.6
Elk River,Sherburne,2012,1,20.9
Elk River,Sherburne,2012,2,25.9
Elk River,Sherburne,2012,3,44.9
Elk River,Sherburne,2012,4,48.2
Elk River,Sherburne,2012,5,62.5
Elk River,Sherburne,2012,6,71.1
Elk River,Sherburne,2012,7,78.2
Elk River,Sherburne,2012,8,70
Elk River,Sherburne,2012,9,61.2
Elk River,Sherburne,2012,10,45.6
Elk River,Sherburne,2012,11,34.2
Elk River,Sherburne,2012,12,21.3
Elk River,Sherburne,2013,1,14.7
Elk River,Sherburne,2013,2,16.1
Elk River,Sherburne,2013,3,24.2
Elk River,Sherburne,2013,4,37.8
Elk River,Sherburne,2013,5,56
Elk River,Sherburne,2013,6,66.8
Elk River,Sherburne,2013,7,73.1
Elk River,Sherburne,2013,8,72
Elk River,Sherburne,2013,9,64.4
Elk River,Sherburne,2013,10,47.3
Elk River,Sherburne,2013,11,30.2
Elk River,Sherburne,2013,12,10.3
Elk River,Sherburne,2014,1,5.7
Elk River,Sherburne,2014,2,5.4
Elk River,Sherburne,2014,3,21.7
Elk River,Sherburne,2014,4,40.5
Elk River,Sherburne,2014,5,57.1
Elk River,Sherburne,2014,6,69
Elk River,Sherburne,2014,7,70.5
Elk River,Sherburne,2014,8,71.4
Elk River,Sherburne,2014,9,60.7
Elk River,Sherburne,2014,10,48
Elk River,Sherburne,2014,11,24.2
Elk River,Sherburne,2014,12,23.3
Elk River,Sherburne,2015,1,17.7
Elk River,Sherburne,2015,2,9.5
Elk River,Sherburne,2015,3,31.3
Elk River,Sherburne,2015,4,46.1
Elk River,Sherburne,2015,5,56.6
Elk River,Sherburne,2015,6,67.9
Elk River,Sherburne,2015,7,71.2
Elk River,Sherburne,2015,8,67.3
Elk River,Sherburne,2015,9,65.7
Elk River,Sherburne,2015,10,49.7
Elk River,Sherburne,2015,11,40.3
Elk River,Sherburne,2015,12,27.3
Elk River,Sherburne,2016,1,14.6
Elk River,Sherburne,2016,2,21.9
Elk River,Sherburne,2016,3,38.2
Elk River,Sherburne,2016,4,45.1
Elk River,Sherburne,2016,5,58
Elk River,Sherburne,2016,6,68.2
Elk River,Sherburne,2016,7,71.9
Elk River,Sherburne,2016,8,70.7
Elk River,Sherburne,2016,9,63
Elk River,Sherburne,2016,10,50
Elk River,Sherburne,2016,11,40.7
Elk River,Sherburne,2016,12,18.3
Faribault,Rice,2007,1,18.6
Faribault,Rice,2007,2,10.1
Faribault,Rice,2007,3,35.4
Faribault,Rice,2007,4,44.4
Faribault,Rice,2007,5,60.9
Faribault,Rice,2007,6,69.9
Faribault,Rice,2007,7,72.9
Faribault,Rice,2007,8,70.3
Faribault,Rice,2007,9,63.2
Faribault,Rice,2007,10,53.5
Faribault,Rice,2007,11,33.9
Faribault,Rice,2007,12,15.5
Faribault,Rice,2008,1,10.8
Faribault,Rice,2008,2,13.3
Faribault,Rice,2008,3,26.4
Faribault,Rice,2008,4,41.8
Faribault,Rice,2008,5,54.5
Faribault,Rice,2008,6,66.1
Faribault,Rice,2008,7,71.9
Faribault,Rice,2008,8,68.9
Faribault,Rice,2008,9,63
Faribault,Rice,2008,10,47.8
Faribault,Rice,2008,11,33.1
Faribault,Rice,2008,12,12.9
Faribault,Rice,2009,1,6.1
Faribault,Rice,2009,2,19.9
Faribault,Rice,2009,3,31
Faribault,Rice,2009,4,44.9
Faribault,Rice,2009,5,56.8
Faribault,Rice,2009,6,64.8
Faribault,Rice,2009,7,66.7
Faribault,Rice,2009,8,67.1
Faribault,Rice,2009,9,64
Faribault,Rice,2009,10,43.1
Faribault,Rice,2009,11,41.1
Faribault,Rice,2009,12,15.1
Faribault,Rice,2010,1,9.1
Faribault,Rice,2010,2,13.3
Faribault,Rice,2010,3,35.8
Faribault,Rice,2010,4,52.2
Faribault,Rice,2010,5,58.5
Faribault,Rice,2010,6,66.9
Faribault,Rice,2010,7,73.2
Faribault,Rice,2010,8,73
Faribault,Rice,2010,9,M
Faribault,Rice,2010,10,M
Faribault,Rice,2010,11,M
Faribault,Rice,2010,12,M
Faribault,Rice,2011,1,M
Faribault,Rice,2011,2,18.8
Faribault,Rice,2011,3,28.5
Faribault,Rice,2011,4,44.1
Faribault,Rice,2011,5,54.9
Faribault,Rice,2011,6,68.7
Faribault,Rice,2011,7,M
Faribault,Rice,2011,8,M
Faribault,Rice,2011,9,M
Faribault,Rice,2011,10,M
Faribault,Rice,2011,11,M
Faribault,Rice,2011,12,M
Faribault,Rice,2012,1,M
Faribault,Rice,2012,2,M
Faribault,Rice,2012,3,M
Faribault,Rice,2012,4,M
Faribault,Rice,2012,5,M
Faribault,Rice,2012,6,M
Faribault,Rice,2012,7,M
Faribault,Rice,2012,8,M
Faribault,Rice,2012,9,M
Faribault,Rice,2012,10,M
Faribault,Rice,2012,11,M
Faribault,Rice,2012,12,M
Faribault,Rice,2013,1,M
Faribault,Rice,2013,2,M
Faribault,Rice,2013,3,M
Faribault,Rice,2013,4,M
Faribault,Rice,2013,5,M
Faribault,Rice,2013,6,M
Faribault,Rice,2013,7,M
Faribault,Rice,2013,8,M
Faribault,Rice,2013,9,M
Faribault,Rice,2013,10,M
Faribault,Rice,2013,11,M
Faribault,Rice,2013,12,M
Faribault,Rice,2014,1,M
Faribault,Rice,2014,2,M
Faribault,Rice,2014,3,M
Faribault,Rice,2014,4,M
Faribault,Rice,2014,5,M
Faribault,Rice,2014,6,M
Faribault,Rice,2014,7,M
Faribault,Rice,2014,8,M
Faribault,Rice,2014,9,M
Faribault,Rice,2014,10,M
Faribault,Rice,2014,11,M
Faribault,Rice,2014,12,M
Faribault,Rice,2015,1,M
Faribault,Rice,2015,2,M
Faribault,Rice,2015,3,M
Faribault,Rice,2015,4,M
Faribault,Rice,2015,5,M
Faribault,Rice,2015,6,M
Faribault,Rice,2015,7,M
Faribault,Rice,2015,8,M
Faribault,Rice,2015,9,M
Faribault,Rice,2015,10,M
Faribault,Rice,2015,11,M
Faribault,Rice,2015,12,M
Faribault,Rice,2016,1,M
Faribault,Rice,2016,2,M
Faribault,Rice,2016,3,M
Faribault,Rice,2016,4,M
Faribault,Rice,2016,5,M
Faribault,Rice,2016,6,M
Faribault,Rice,2016,7,M
Faribault,Rice,2016,8,M
